PYNAM,PYCOMNAM,COMNAME,PYSPP,ITISSPP,VIMSCODE
SPISULA SP,SPISULA SP,NA,5.12E+14,NA,91
ECHINODERMATA,ECHINODERMS,NA,6.10E+14,NA,496
BIVALVIA,BIVALVE MOLLUSKS,NA,5.12E+14,NA,498
INSECTA,INSECTS,NA,4.15E+14,NA,505
LEPTOCHEIRUS PLUMULOSUS,,NA,4.11E+14,NA,507
ANCINUS DEPRESSUS,,NA,4.11E+14,NA,508
NEREIS SP,,NA,2.14E+14,NA,510
ETEONE SP,,NA,2.14E+14,NA,511
CYATHURA SP,,NA,4.11E+14,NA,513
OSTRACODA,OSTRACODS,NA,4.11E+14,NA,523
CHIRIDOTEA SP,,NA,4.11E+14,NA,526
OLIGOCHAETA,OLIGOCHAETS,NA,2.13E+14,NA,532
LIGIA SP,,NA,4.11E+14,NA,533
MOLLUSCA VISCERA,MOLLUSK VISCERA,NA,5.10E+14,NA,536
OXYUROSTYLIS SMITHI,,NA,4.11E+14,NA,539
JASSA FALCATA,,NA,4.11E+14,NA,543
PORIFERA,SPONGES,NA,3.00E+13,NA,548
CYMADUSA COMPTA,,NA,4.11E+14,NA,549
THYONE SP,,NA,6.15E+14,NA,553
ANADARA SP,,NA,5.12E+14,NA,558
CHIRIDOTEA ALMYRA,,NA,4.11E+14,NA,570
NEMERTEA,RIBBON WORMS,NA,9.00E+13,NA,572
GLYCERA AMERICANA,,NA,2.14E+14,NA,576
ERICTHONIUS BRASILIENSIS,,NA,4.11E+14,NA,579
MELITA NITIDA,,NA,4.11E+14,NA,589
INVERTEBRATA,UNIDENTIFIED INVERTEBRATES,NA,1.00E+13,NA,598
PAGURUS ACADIANUS,ACADIAN HERMIT CRAB,NA,4.11E+14,NA,617
PAGURUS ANNULIPES,,NA,4.11E+14,NA,618
AEGININA LONGICORNIS,,NA,4.11E+14,NA,630
AGLAOPHAMUS CIRCINATA,,NA,2.14E+14,NA,631
OPHELINA AULOGASTER,,NA,2.14E+14,NA,632
AMPELISCA ABDITA,,NA,4.11E+14,NA,634
AMPELISCA AGASSIZI,,NA,4.11E+14,NA,635
AMPELISCA SP,,NA,4.11E+14,NA,636
AMPELISCA VADORUM,,NA,4.11E+14,NA,637
AMPHARETE ARCTICA,,NA,2.14E+14,NA,638
ANONYX LILLJEBORGI,,NA,4.11E+14,NA,641
ANONYX SARSI,,NA,4.11E+14,NA,642
ACTINIARIA,SEA ANEMONES,NA,5.22E+13,NA,643
AORIDAE,,NA,4.11E+14,NA,644
APHRODITA HASTATA,SEA MOUSE,NA,2.14E+14,NA,645
ARGISSA HAMATIPES,,NA,4.11E+14,NA,646
ASCIDIACEA,SEA SQUIRTS,NA,7.61E+14,NA,648
AXIOGNATHUS SQUAMATUS,,NA,6.13E+14,NA,652
BYBLIS SERRATA,,NA,4.11E+14,NA,654
IDOTEA BALTICA,,NA,4.11E+14,NA,655
ISOPODA,,NA,4.11E+14,NA,657
CAPRELLIDAE,,NA,4.11E+14,NA,658
CASCO BIGELOWI,,NA,4.11E+14,NA,659
CHAETOZONE SETOSA,,NA,2.14E+14,NA,662
CHIRIDOTEA TUFTSI,,NA,4.11E+14,NA,663
CHONE INFUNDIBULIFORMIS,,NA,2.14E+14,NA,664
CIROLANIDAE,,NA,4.11E+14,NA,665
CIRRATULIDAE,,NA,2.14E+14,NA,666
PECTINARIA GOULDI,,NA,2.14E+14,NA,667
CLYMENELLA TORQUATA,,NA,2.14E+14,NA,668
CLYMENELLA ZONALIS,,NA,2.14E+14,NA,669
COROPHIUM CRASSICORNE,,NA,4.11E+14,NA,670
COROPHIUM SP,,NA,4.11E+14,NA,671
CRUSTACEA,,"CRUSTACEANS,UNC",4.11E+14,83677,673
CUMACEA,,NA,4.11E+14,NA,674
DIASTYLIDAE,,NA,4.11E+14,NA,676
DIASTYLIS SCULPTA,,NA,4.11E+14,NA,678
DRILONEREIS LONGA,,NA,2.14E+14,NA,680
DRILONEREIS MAGNA,,NA,2.14E+14,NA,681
DRILONEREIS SP,,NA,2.14E+14,NA,682
EDOTEA MONTOSA,,NA,4.11E+14,NA,685
ERICTHONIUS RUBRICORNIS,,NA,4.11E+14,NA,686
EUDORELLA HISPIDA,,NA,4.11E+14,NA,690
FILOGRANA IMPLEXA,,NA,2.14E+14,NA,692
GAMMARUS SP,,NA,4.11E+14,NA,694
GLYCERA DIBRANCHIATA,,BLOODWORMS,2.14E+14,66107,695
GLYCERA SP,,NA,2.14E+14,NA,697
GONIADA NORVEGICA,,NA,2.14E+14,NA,698
ECHINARACHNIUS PARMA,SAND DOLLAR,NA,6.12E+14,NA,702
BIVALVIA SHELL,BIVALVE SHELL,NA,5.12E+14,NA,705
MOLLUSCA,MOLLUSKS,"MOLLUSKS,UNC",5.10E+14,69458,709
HARMOTHOE EXTENUATA,,NA,2.14E+14,NA,711
HARMOTHOE IMBRICATA,,NA,2.14E+14,NA,712
HARMOTHOE SP,,NA,2.14E+14,NA,713
HARPINIA PROPINQUA,,NA,4.11E+14,NA,718
HIPPOMEDON SERRATUS,,NA,4.11E+14,NA,721
HYPERIIDAE,,NA,4.11E+14,NA,722
LEPTOCHEIRUS PINGUIS,,NA,4.11E+14,NA,723
LUMBRINERIDES ACUTA,,NA,2.14E+14,NA,726
LUMBRINERIS FRAGILIS,,NA,2.14E+14,NA,729
MALDANIDAE,BAMBOO WORMS,NA,2.14E+14,NA,731
MARPHYSA BELLI,,NA,2.14E+14,NA,732
MARPHYSA SP,,NA,2.14E+14,NA,733
MELINNA SP,,NA,2.14E+14,NA,734
MELITA DENTATA,,NA,4.11E+14,NA,735
MELPHIDIPPIDAE,,NA,4.11E+14,NA,736
MONOCULODES EDWARDSI,,NA,4.11E+14,NA,738
MONOCULODES SP,,NA,4.11E+14,NA,739
NEPHTYS INCISA,,NA,2.14E+14,NA,744
NEPHTYIDAE,,NA,2.14E+14,NA,745
NEREIS GRAYI,,NA,2.14E+14,NA,746
NEREIS ZONATA,,NA,2.14E+14,NA,748
NICOMACHE SP,,NA,2.14E+14,NA,749
NICOLEA SP,,NA,2.14E+14,NA,750
NICOLEA VENUSTULA,,NA,2.14E+14,NA,751
NINOE NIGRIPES,,NA,2.14E+14,NA,752
NOTHRIA CONCHYLEGA,,NA,2.14E+14,NA,753
OPHELIA DENTICULATA,,NA,2.14E+14,NA,754
OPHIUROIDEA,BRITTLE STARS AND BASKET STARS,NA,6.13E+14,NA,755
PAGURUS ARCUATUS,HAIRY HERMIT CRAB,NA,4.11E+14,NA,757
PAGURUS SP,,NA,4.11E+14,NA,758
PARAHAUSTORIUS LONGIMERUS,,NA,4.11E+14,NA,759
PARANAITIS SPECIOSA,,NA,2.14E+14,NA,760
PARATHEMISTO SP,,NA,4.11E+14,NA,761
PHERUSA AFFINIS,,NA,2.14E+14,NA,764
PHERUSA PLUMOSA,,NA,2.14E+14,NA,765
PHOTIS DENTATA,,NA,4.11E+14,NA,766
PHOTIS MACROCOXA,,NA,4.11E+14,NA,767
PHOXOCEPHALUS HOLBOLLI,,NA,4.11E+14,NA,768
PODOCEROPSIS NITIDA,,NA,4.11E+14,NA,772
POLYCHAETA,,NA,2.14E+14,NA,775
POTAMILLA RENIFORMIS,,NA,2.14E+14,NA,776
PRAXILLELLA SP,,NA,2.14E+14,NA,777
PRIAPULUS CAUDATUS,PEANUT WORM,NA,1.11E+14,NA,778
PROTOHAUSTORIUS WIGLEYI,,NA,4.11E+14,NA,779
PTILANTHURA TENUIS,,NA,4.11E+14,NA,781
RHACHOTROPIS OCULATA,,NA,4.11E+14,NA,783
SABELLIDAE,,NA,2.14E+14,NA,785
SCALIBREGMA INFLATUM,,NA,2.14E+14,NA,786
SCAPHOPODA,TUSKSHELLS AND TOOTHSHELLS,NA,5.13E+14,NA,787
SOLENIDAE,RAZOR AND JACKNIFE CLAMS,RAZOR AND JACKKNIFE CLAM UNCL,5.12E+14,81006,790
SPIO SP,,NA,2.14E+14,NA,791
STENOPLEUSTES GRACILIS,,NA,4.11E+14,NA,792
STENOPLEUSTES INERMIS,,NA,4.11E+14,NA,793
SYNCHELIDIUM AMERICANUM,,NA,4.11E+14,NA,794
TEREBELLIDAE,,NA,2.14E+14,NA,798
TEREBELLIDES STROEMII,,NA,2.14E+14,NA,799
MYA ARENARIA,SOFTSHELL CLAM,"CLAM,SOFT",5.12E+14,81692,801
MYTILUS EDULIS,BLUE MUSSEL,BLUE MUSSEL,5.12E+14,79454,802
LYONSIA SP,,NA,5.12E+14,NA,804
HAMINOEA SP,,NA,5.14E+14,NA,806
MODIOLUS MODIOLUS,NORTHERN HORSEMUSSEL,NORTHERN HORSEMUSSEL,5.12E+14,79501,807
BALANUS SP,,NA,4.11E+14,NA,808
ANOMIA SIMPLEX,COMMON JINGLE,NA,5.12E+14,NA,809
THARYX ACUTUS,,NA,2.14E+14,NA,810
RHEPOXYNIUS EPISTOMUS,,NA,4.11E+14,NA,812
UNCIOLA IRRORATA,,NA,4.11E+14,NA,813
ENSIS DIRECTUS,ATLANTIC JACKNIFE,"CLAM,RAZOR,ATLANTIC",5.12E+14,81022,816
OSTREIDAE,OYSTERS,NA,5.12E+14,NA,819
MERCENARIA SP,,NA,5.12E+14,NA,821
MOLGULA SP,,NA,7.61E+14,NA,824
HOLOTHUROIDEA,SEA CUCUMBERS,SEA CUCUMBER,6.15E+14,158140,828
BUSYCON SP,,NA,5.14E+14,NA,829
LAEVICARDIUM SP,,NA,5.12E+14,NA,832
YOLDIA SP,,NA,5.12E+14,NA,836
ARBACIA PUNCTULATA,PURPLE SEA URCHIN,NA,6.12E+14,NA,840
AMPHIPODA,,NA,4.11E+14,NA,841
ARGOPECTEN IRRADIANS,BAY SCALLOP,BAY SCALLOP,5.12E+14,79737,850
NUDIBRANCHIA,SEA SLUGS,NA,5.14E+14,NA,855
EMERITA TALPOIDA,ATLANTIC SAND CRAB,NA,4.11E+14,NA,864
DIOGENIDAE,LEFT-HANDED HERMIT CRABS,NA,4.11E+14,NA,869
CREPIDULA SP,,NA,5.14E+14,NA,881
MULINIA LATERALIS,DRAWF SURFCLAM,NA,5.12E+14,NA,882
HIRUDINEA,LEACHES,NA,2.11E+14,NA,883
GASTROPODA,SNAILS,NA,5.14E+14,NA,884
ANADARA TRANSVERSA,TRANSVERSE ARK,NA,5.12E+14,NA,886
TELLINA AGILIS,NORTHERN DRAWF-TELLIN,NA,5.12E+14,NA,887
NEMATODA,ROUND WORMS,NA,1.13E+14,NA,901
PECTINARIIDAE,,NA,2.14E+14,NA,906
CLIONE LIMACINA,NAKED SEA BUTTERFLY,NA,5.14E+14,NA,910
IDOTEA SP,,NA,4.11E+14,NA,912
BRYOZOA,BRYOZOANS,NA,7.00E+14,NA,915
PAGUROIDEA,HERMIT CRABS,HERMIT CRAB UNCL,4.11E+14,206947,917
EDOTEA SP,,NA,4.11E+14,NA,918
AMPHIOPLUS ABDITA,,NA,6.13E+14,NA,920
CHAETOPTERIDAE,,NA,2.14E+14,NA,926
CYMOTHOIDAE,,NA,4.11E+14,NA,929
CAPITELLIDAE,,NA,2.14E+14,NA,932
TURBELLARIA,PLANARIANS,NA,7.30E+13,NA,935
POLYDORA SP,,NA,2.14E+14,NA,945
ORBINIIDA,,NA,2.14E+14,NA,946
SOLEN VIRIDIS,GREEN JACKKNIFE,NA,5.12E+14,NA,947
STENOTHOIDAE,,NA,4.11E+14,NA,948
SYLLIDAE,,NA,2.14E+14,NA,949
LEMBOS SP,,NA,4.11E+14,NA,962
DIASTYLIS QUADRISPINOSA,,NA,4.11E+14,NA,975
BATHYPOREIA SP,,NA,4.11E+14,NA,978
SYNIDOTEA SP,,NA,4.11E+14,NA,981
OPHELIIDAE,,NA,2.14E+14,NA,1001
AEGA PSORA,,NA,4.11E+14,NA,1004
HAUSTORIIDAE,,NA,4.11E+14,NA,1008
CAPRELLA SP,,NA,4.11E+14,NA,1009
AMPHIPOREIA VIRGINIANA,,NA,4.11E+14,NA,1012
POLITOLANA CONCHARUM,,NA,4.11E+14,NA,1025
ASYCHIS ELONGATA,,NA,2.14E+14,NA,1036
POLYNOIDAE,,NA,2.14E+14,NA,1037
ELASMOPUS LAEVIS,,NA,4.11E+14,NA,1041
PHYLLODOCIDAE,,NA,2.14E+14,NA,1045
ANTHOZOA,ANEMONES AND CORALS,NA,5.20E+13,NA,1047
ASTARTE CASTANEA,SMOOTH ASTARTE,SMOOTH ASTARTE,5.12E+14,80801,1051
MYTILIDAE,MUSSELS,NA,5.12E+14,NA,1053
NATICIDAE,"MOON SNAILS, SHARK EYES AND BABY-EARS",MOON SNAIL SHARK EYE AND BABY-EAR,5.14E+14,72878,1059
NUCULA PROXIMA,ATLANTIC NUTCLAM,NA,5.12E+14,NA,1063
SOLEMYA VELUM,ATLANTIC AWNINGCLAM,NA,5.12E+14,NA,1068
YOLDIA LIMATULA,FILE YOLDIA,NA,5.12E+14,NA,1070
ARABELLA IRICOLOR,,NA,2.14E+14,NA,1071
GONIADA SP,,NA,2.14E+14,NA,1078
ALBUNEA PARETII,BEACH MOLE CRAB,NA,4.11E+14,NA,1080
NASSARIUS SP,NASSARIUS SP,NA,5.14E+14,NA,1083
ECHIURA,ECHIURID WORMS,NA,3.30E+14,NA,1089
FORAMINIFERIDA,FORAMINIFERANS,NA,1.30E+13,NA,1090
PSAMMONYX NOBILIS,,NA,4.11E+14,NA,1102
TRAVISIA CARNEA,,NA,2.14E+14,NA,1103
YOLDIA SAPOTILLA,SHORT YOLDIA,NA,5.12E+14,NA,1104
ACANTHOCEPHALA,SPINY HEADED WORMS,NA,1.00E+14,NA,1105
GONIADA MACULATA,,NA,2.14E+14,NA,1107
SIPUNCULA,SIPUNCULANS,NA,3.10E+14,NA,1109
DIOPATRA CUPREA,,NA,2.14E+14,NA,1111
OPHELINA SP,,NA,2.14E+14,NA,1115
DINOCARDIUM ROBUSTUM,ATLANTIC GIANT COCKLE,NA,5.12E+14,NA,1118
CAUDINA ARENATA,RAT-TAILED CUCUMBER,NA,6.15E+14,NA,1129
LEPIDONOTUS SQUAMATUS,,NA,2.14E+14,NA,1130
EPITONIUM SP,,NA,5.14E+14,NA,1158
CIRRIPEDIA,BARNACLES,NA,4.11E+14,NA,1163
ECHINOIDEA,SEA URCHINS AND SAND DOLLARS,SEA URCHIN AND SAND DOLLAR UNCL,6.12E+14,157821,1169
NEOGASTROPODA,,NA,5.14E+14,NA,1184
CALLIOPIUS LAEVIUSCULUS,,NA,4.11E+14,NA,1206
AMPHARETIDAE,,NA,2.14E+14,NA,1208
BIVALVIA,BIVALVE MOLLUSKS,NA,5.12E+14,NA,5003
CEREBRATULUS SP,,NA,9.10E+13,NA,5009
GAMMARUS MUCRONATUS,,NA,4.11E+14,NA,5019
EDOTEA TRILOBA,,NA,4.11E+14,NA,5020
ANACHIS SP,,NA,5.14E+14,NA,5027
MOLLUSCA,MOLLUSKS,"MOLLUSKS,UNC",5.10E+14,69458,5036
BIVALVIA,BIVALVE MOLLUSKS,NA,5.12E+14,NA,5039
PAGURUS LONGICARPUS,LONGWRIST HERMIT,NA,4.11E+14,NA,7581
PAGURUS POLLICARIS,FLATCLAW HERMIT,NA,4.11E+14,NA,7582
HIPPOMEDON SP,,NA,4.11E+14,NA,NA
LEPTOCHEIRUS SP,,NA,4.11E+14,NA,NA
ASCIDIA SP,,NA,7.61E+14,NA,NA
CHAETOZONE SP,,NA,2.14E+14,NA,NA
CHONE SP,,NA,2.14E+14,NA,NA
DIASTYLIS SP,,NA,4.11E+14,NA,NA
EUDORELLA SP,,NA,4.11E+14,NA,NA
HYPERIA SP,,NA,4.11E+14,NA,NA
MALDANE SP,,NA,2.14E+14,NA,NA
MELPHIDIPPA SP,,NA,4.11E+14,NA,NA
OPHIURIDA,,NA,6.13E+14,NA,NA
PHOXOCEPHALUS SP,,NA,4.11E+14,NA,NA
PODOCEROPSIS SP,,NA,4.11E+14,NA,NA
TEREBELLIDA,,NA,2.14E+14,NA,NA
ENSIS SP,ENSIS SP,NA,5.12E+14,NA,NA
ARGOPECTEN IRRADIANS SHELL,BAY SCALLOP SHELL,NA,5.12E+14,NA,NA
PAGURIDAE,RIGHT-HANDED HERMIT CRABS,NA,4.11E+14,NA,NA
PLATYHELMINTHES,FLAT WORMS,NA,7.00E+13,NA,NA
STENOTHOE SP,,NA,4.11E+14,NA,NA
SYLLIDES SP,,NA,2.14E+14,NA,NA
OPHELIA SP,,NA,2.14E+14,NA,NA
PHYLLODOCIDA,,NA,2.14E+14,NA,NA
SOLEMYIDAE,AWNINGCLAMS,NA,5.12E+14,NA,NA
ECHIURIDAE,,NA,3.31E+14,NA,NA
PSAMMONYX SP,,NA,4.11E+14,NA,NA
LEPIDONOTUS SP,,NA,2.14E+14,NA,NA
ECHINACEA,TRUE SEA URCHINS,NA,6.12E+14,NA,NA
AMPHARETE SP,,NA,2.14E+14,NA,NA
BIVALVIA SIPHON,BIVALVE SIPHON,NA,5.12E+14,NA,NA
ACANTHODORIS PILOSA,HAIRY SPINY DORIS,NA,5.14E+14,NA,NA
ACANTHOHAUSTORIUS MILLSI,,NA,4.11E+14,NA,NA
ACANTHOHAUSTORIUS SP,,NA,4.11E+14,NA,NA
ACANTHOHAUSTORIUS SPINOSUS,,NA,4.11E+14,NA,NA
ACANTHONOTOZOMA SERRATUM,,NA,4.11E+14,NA,NA
ACANTHONOTOZOMA SP,,NA,4.11E+14,NA,NA
ACESTE SP,,NA,6.12E+14,NA,NA
